sep=;
ACCELEROMETER X (m/sÂ²);ACCELEROMETER Y (m/sÂ²);ACCELEROMETER Z (m/sÂ²);GRAVITY X (m/sÂ²);GRAVITY Y (m/sÂ²);GRAVITY Z (m/sÂ²);LINEAR ACCELERATION X (m/sÂ²);LINEAR ACCELERATION Y (m/sÂ²);LINEAR ACCELERATION Z (m/sÂ²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (Î¼T);MAGNETIC FIELD Y (Î¼T);MAGNETIC FIELD Z (Î¼T);ORIENTATION Z (azimuth Â°);ORIENTATION X (pitch Â°);ORIENTATION Y (roll Â°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (Â°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.297;-14.3981;-6.3145;0.4385;-7.9564;-5.7218;4.319;2.0661;-4.1102;-3.4933;-2.0925;-1.3315;0.001;-8.66;56.85;34.49;231.17;82.37;153.61;0.0;999.5;54.191;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;31006;2018-03-09 12:04:11:698
0.2716;-11.9336;-1.5013;2.1099;-8.5692;-4.2841;0.586;3.6205;-2.8497;2.2427;3.4818;0.5831;0.001;-26.63;54.58;22.63;294.03;45.6;-174.22;0.0;1000.15;58.759;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;31506;2018-03-09 12:04:12:198
2.2718;-11.5755;-0.4663;0.1297;-9.7203;1.3173;-2.2453;1.1248;1.5559;-0.3933;1.5016;0.0697;0.001;-7.86;56.38;-18.44;173.57;79.66;-24.33;0.0;999.37;58.963;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;32006;2018-03-09 12:04:12:698
-2.663;-6.2064;-1.8717;1.4881;-9.4053;-2.3585;2.0472;-2.2771;-0.8761;0.5131;2.8759;0.2939;0.001;-20.21;59.76;-1.33;314.8;66.56;-162.57;0.0;999.58;57.24;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;32507;2018-03-09 12:04:13:199
2.3354;-10.0304;-0.1505;1.0981;-9.6915;1.0512;-2.9499;-0.1994;-0.0022;0.3644;1.6812;0.2004;0.001;-2.18;56.9;-13.78;284.46;81.33;-76.28;0.0;999.59;56.827;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;33006;2018-03-09 12:04:13:698
1.4413;-16.272;-4.5322;-0.325;-9.7755;0.7557;3.2467;1.5739;-3.1859;-1.4976;0.2049;-0.3791;0.001;-4.38;58.83;-4.74;71.0;85.19;23.27;0.0;999.49;52.433;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;33507;2018-03-09 12:04:14:199
-1.224;-15.0362;-6.7764;0.9057;-7.8128;-5.8631;0.735;1.5396;-2.3439;1.6333;1.7731;0.1289;0.001;-16.14;57.75;21.93;321.78;52.79;-171.22;0.0;999.74;62.545;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;34006;2018-03-09 12:04:14:698
-1.1492;-15.5204;-0.1723;-0.8712;-9.6092;1.7722;0.9959;7.8703;-0.6862;0.5335;-0.125;0.2087;0.001;-6.95;59.02;-6.26;83.61;82.94;15.61;0.0;999.24;57.563;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;34507;2018-03-09 12:04:15:199
-2.404;-5.1518;-5.4914;-0.3043;-7.2007;-6.6553;0.4435;-3.3523;-0.0678;1.8721;0.8361;-0.6381;0.001;-25.82;55.12;21.28;310.28;47.22;177.38;0.0;1000.07;58.452;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;35006;2018-03-09 12:04:15:698
1.246;-10.4569;-1.492;-0.7068;-9.6347;1.7056;-1.8295;2.3149;-0.1263;0.9044;0.9835;0.6398;0.001;-16.4;48.09;-21.08;99.95;79.15;22.51;0.0;999.42;55.316;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;35507;2018-03-09 12:04:16:199
-0.7183;-4.9981;-0.938;-0.4723;-6.9591;-6.8981;0.8157;-3.0515;-6.5604;-2.6285;-2.3371;-0.6615;0.001;-42.02;52.56;16.54;302.43;45.19;176.08;0.0;999.64;53.5;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;36006;2018-03-09 12:04:16:698
2.1616;-9.5329;-0.8829;0.6003;-9.7446;-0.958;-1.7122;-0.2038;-0.414;1.8701;1.3262;0.5862;0.001;-38.76;39.25;-1.07;279.77;67.94;-165.6;0.0;999.52;58.205;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;36508;2018-03-09 12:04:17:200
-0.2755;-11.1397;3.037;0.0765;-9.0888;-3.691;0.0914;-2.4065;-5.5475;-3.6652;-0.3828;-0.9482;0.001;-30.44;47.56;0.04;300.25;67.89;-178.81;0.0;999.35;56.643;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;37006;2018-03-09 12:04:17:698
-0.7187;-10.0289;-2.1521;0.4427;-9.1856;-3.4153;-0.4107;1.9717;-1.8983;2.0195;0.6614;0.5448;0.001;-24.21;47.66;7.5;286.01;69.45;-172.61;0.0;999.43;60.862;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;37507;2018-03-09 12:04:18:199
-1.9838;-15.095;-4.4853;-1.5521;-9.6612;0.6985;1.0359;5.3668;4.6183;-1.0724;-0.0264;0.0351;0.001;-11.92;48.84;-10.22;54.64;79.58;47.74;0.0;999.23;53.09;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;38007;2018-03-09 12:04:18:699
-2.4055;-5.4375;-7.1757;-1.0524;-6.9621;-6.8306;0.5371;-3.1339;-1.816;1.1416;1.1585;0.4317;0.001;-14.89;54.07;13.85;331.3;40.57;168.87;0.0;999.78;56.623;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;38507;2018-03-09 12:04:19:199
2.7742;-8.5063;-1.8348;0.4933;-9.7602;-0.8555;-2.4373;-1.5415;2.0071;0.277;2.7206;0.3658;0.001;2.54;50.33;-10.94;351.1;79.0;-148.56;0.0;999.09;57.885;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;39007;2018-03-09 12:04:19:699
-3.2878;-5.0647;-3.7318;-1.1842;-9.0265;-3.6546;0.2617;-4.0544;0.0336;-2.2226;3.4558;0.3287;0.001;20.73;41.76;-4.08;75.52;82.79;146.45;0.0;999.19;52.852;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;39507;2018-03-09 12:04:20:199
1.603;-10.9312;-1.8289;-1.6907;-9.6599;0.2544;-4.7073;2.1028;3.3266;0.3624;2.1781;-0.2436;0.001;18.22;37.12;51.25;235.3;78.57;95.08;0.0;999.36;51.729;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;40007;2018-03-09 12:04:20:699
-0.6846;-9.2057;0.7655;-1.8799;-9.616;0.4847;-1.386;-0.3285;0.3244;-0.1861;0.452;0.4519;0.001;-0.58;41.71;60.31;297.96;81.33;68.12;0.0;999.33;48.17;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;40506;2018-03-09 12:04:21:198
-1.2058;-4.3624;-1.9877;-0.1741;-8.607;-4.7038;-0.0682;-1.1063;0.3857;0.5851;-0.548;-0.9016;0.001;21.55;25.22;38.26;136.96;61.33;177.88;0.0;999.3;55.96;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;41006;2018-03-09 12:04:21:698
1.7857;-9.53;-3.5759;-0.1611;-9.6422;-1.7996;-1.2913;-2.6954;1.7542;0.5349;0.7189;0.097;0.001;14.77;40.29;34.88;160.51;79.39;174.89;0.0;999.27;56.362;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;41508;2018-03-09 12:04:22:200
-0.8914;-3.8443;-0.9675;-0.0332;-7.9895;-5.6924;1.3903;-5.8725;-4.5189;0.4949;-0.5843;-0.5131;0.001;13.57;28.91;36.93;144.61;58.87;178.09;0.0;999.18;59.333;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;42007;2018-03-09 12:04:22:699
2.715;-8.9578;-3.1087;0.2567;-9.7055;-1.4049;-2.453;-0.8378;1.5352;0.7288;-0.0979;-0.1205;0.001;13.28;45.72;39.26;145.63;81.63;-169.65;0.0;999.41;57.516;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;42507;2018-03-09 12:04:23:199
-2.2287;-1.6834;-0.75;-0.1016;-8.8139;-4.3059;-0.4731;-2.264;1.3781;2.3882;-0.6587;-0.2183;0.001;21.96;42.77;36.44;124.08;54.21;-179.57;0.0;999.29;56.251;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;43008;2018-03-09 12:04:23:700
0.8561;-7.6275;-2.4634;-0.4204;-9.7276;-1.1968;-0.9951;-2.653;0.802;0.3593;-0.8685;0.3018;0.001;23.47;50.48;32.11;145.97;78.55;169.64;0.0;999.35;57.242;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;43506;2018-03-09 12:04:24:198
-0.1767;-5.6247;-3.2516;-0.9151;-9.4256;-2.5607;-0.9719;-3.7301;0.5975;3.004;0.3434;0.1273;0.001;22.77;52.13;30.24;123.62;55.56;169.71;0.0;999.34;56.753;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;44007;2018-03-09 12:04:24:699
0.6848;-7.4856;-2.0534;-0.6159;-9.7377;-1.0167;-0.8459;-1.5825;1.4864;-0.0984;0.1011;0.4106;0.001;14.74;63.19;17.6;167.15;83.04;148.79;0.0;999.44;54.473;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;44507;2018-03-09 12:04:25:199
0.5517;-12.1373;-6.7513;-0.9539;-9.6245;-1.642;2.527;-2.1126;3.2346;1.0192;-0.6259;-0.0016;0.001;2.71;65.81;12.14;23.3;64.9;174.31;0.0;999.41;57.808;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;45007;2018-03-09 12:04:25:699
0.6512;-13.5239;-4.9906;-1.2646;-9.2315;-3.0685;-1.9106;5.4367;3.791;-2.5688;-0.67;-0.0169;0.001;-7.44;64.12;15.08;298.83;79.35;159.98;0.0;999.49;53.807;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;45507;2018-03-09 12:04:26:199
-1.1607;-16.2897;0.1635;0.0437;-9.5457;-2.2615;-3.0184;2.3454;-11.8423;-0.0724;-0.0083;-0.7516;0.001;-14.12;60.94;35.82;212.08;76.67;-178.89;0.0;999.62;59.345;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;46007;2018-03-09 12:04:26:699
2.2496;-14.6148;-1.7735;-2.1882;-9.5628;0.0118;-4.8249;1.9536;2.2226;-1.5269;-0.5843;-0.4097;0.001;0.64;71.02;23.1;298.53;83.03;91.49;0.0;999.66;52.274;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;46506;2018-03-09 12:04:27:198
4.4721;-9.0196;-1.6098;0.1664;-9.4558;-2.6069;-4.8647;-0.4089;-1.744;-0.0944;-2.3466;-0.6976;0.001;10.62;69.81;41.68;147.08;74.56;-176.35;0.0;999.55;56.268;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;47006;2018-03-09 12:04:27:698
2.3632;-9.5333;0.6111;-0.9221;-9.7617;0.3086;-0.0626;-0.4154;0.6809;0.8697;-0.788;0.2858;0.001;29.79;76.28;23.29;130.02;80.05;179.31;0.0;999.54;55.812;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;47506;2018-03-09 12:04:28:198
0.2731;-11.8108;-3.8566;-0.7951;-9.1861;-3.3494;-3.0665;3.6136;2.5088;-2.6669;-0.9338;-1.0352;0.001;32.57;72.31;15.74;222.83;81.06;85.42;0.0;999.48;52.185;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;48007;2018-03-09 12:04:28:699
0.5365;-9.7999;-3.1534;1.1165;-9.5686;-1.8523;1.6312;-1.4873;5.1556;1.0102;1.8369;-0.1996;0.001;12.3;77.91;8.52;43.51;77.26;-148.92;0.0;999.41;59.049;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;48506;2018-03-09 12:04:29:198
1.886;-7.8338;-1.9729;0.7637;-9.722;-1.0657;-1.192;-1.9582;0.0341;0.2033;-0.4702;0.1164;0.001;3.91;74.46;3.23;27.07;82.32;-144.37;0.0;999.63;57.491;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;49006;2018-03-09 12:04:29:698
0.2535;-8.2048;-3.7665;0.5162;-9.6218;-1.8413;0.1719;3.8739;3.4924;3.0409;0.3613;0.617;0.001;3.19;67.01;8.66;44.8;78.76;-164.34;0.0;999.57;56.526;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;49507;2018-03-09 12:04:30:199
-1.7097;-8.0037;-3.3576;0.6726;-9.6894;-1.3781;2.6778;-1.5833;2.3281;0.0035;-0.3108;0.6788;0.001;9.09;68.66;11.97;57.26;78.39;-149.07;0.0;999.7;55.651;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;50007;2018-03-09 12:04:30:699
2.196;-13.1731;1.7572;0.2721;-9.7705;-0.8363;-0.421;3.2469;-3.7215;0.2916;0.0935;-0.1582;0.001;7.35;71.05;4.9;62.4;80.83;-172.69;0.0;999.71;58.629;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;50506;2018-03-09 12:04:31:198
1.2405;-2.5118;-1.4299;0.2556;-8.4055;-5.0515;1.833;-7.7309;-3.4429;1.3674;-0.1469;-0.1469;0.001;4.43;65.13;3.22;7.59;58.96;-177.1;0.0;999.52;58.699;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;51006;2018-03-09 12:04:31:698
-0.6968;-7.615;-4.701;-0.4025;-9.7029;-1.3884;0.8882;-2.5895;3.1294;-0.5125;-0.1496;0.3058;0.001;3.14;64.29;-23.56;8.71;80.74;174.84;0.0;999.47;60.794;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;51507;2018-03-09 12:04:32:199
-0.092;-23.9962;-2.3836;0.645;-9.76;-0.7496;-5.2863;28.4126;13.319;-0.4666;-1.6346;-1.0818;0.001;-25.6;45.31;-31.47;285.46;84.21;-139.29;0.0;999.88;62.403;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;52006;2018-03-09 12:04:32:698
-1.9194;-2.4011;1.0322;0.4886;-9.1189;-3.5838;1.2794;-5.8758;-0.1413;1.8126;-1.2518;0.1749;0.001;-32.8;38.68;0.25;287.38;68.36;-172.24;0.0;999.77;57.067;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;52507;2018-03-09 12:04:33:199
0.1954;-8.2607;-1.0665;-0.5719;-9.7836;-0.4356;-0.8041;-1.8918;0.9031;1.8809;-0.2917;0.9415;0.001;-14.21;32.98;5.8;268.59;75.07;-172.6;0.0;999.72;64.141;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;53006;2018-03-09 12:04:33:698
-0.3288;-7.4694;3.1789;0.4103;-9.1377;-3.5453;0.6521;-2.2011;-6.4079;0.5133;-3.3355;-1.4801;0.001;-11.27;57.6;12.11;312.73;68.67;-173.4;0.0;999.68;54.437;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;53507;2018-03-09 12:04:34:199
1.8408;-9.8896;0.2214;-0.313;-9.7584;-0.9546;-0.8038;0.5073;-4.1081;1.0047;-1.1154;0.5673;0.001;-23.58;58.25;23.79;231.97;77.36;-166.09;0.0;999.65;56.714;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;54006;2018-03-09 12:04:34:698
1.8716;-12.5999;-1.5271;-2.0152;-9.5463;1.0213;-3.6861;3.0221;2.7305;-0.7395;-0.531;0.3945;0.001;-17.01;62.41;24.67;352.22;76.75;45.45;0.0;999.66;50.224;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;54507;2018-03-09 12:04:35:199
-1.8521;-3.4994;-0.3699;0.2916;-9.5107;-2.3871;-0.4057;-1.0524;-0.6453;1.6444;-0.3982;0.5605;0.001;12.26;43.47;35.72;117.27;62.71;-168.93;0.0;999.64;56.784;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;55006;2018-03-09 12:04:35:698
3.0986;-9.4895;-3.5172;0.3731;-9.6596;-1.6703;-0.4641;-2.5471;1.698;-0.0915;0.0735;0.573;0.001;3.45;49.75;19.84;127.66;78.65;-156.97;0.0;999.85;55.544;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;55507;2018-03-09 12:04:36:199
-0.8367;-5.3044;-2.4933;0.1197;-9.5232;-2.3516;-0.9067;-1.0184;1.3943;3.407;0.318;0.0524;0.001;0.74;47.72;14.28;139.5;76.11;-177.08;0.0;999.7;57.049;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;56007;2018-03-09 12:04:36:699
-0.2344;-8.1875;-3.9475;0.4719;-9.5936;-1.9943;-1.3824;7.1997;-4.2992;-0.8322;0.0098;0.7021;0.001;-0.6;40.98;17.87;160.16;77.94;-166.69;0.0;999.85;55.211;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;56507;2018-03-09 12:04:37:199
3.4141;-14.3206;0.5428;0.5961;-9.7627;-0.7551;6.2012;3.1826;-2.1477;-0.0907;0.4199;-0.7177;0.001;5.93;48.45;16.18;105.63;84.37;-141.71;0.0;999.85;57.814;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;57007;2018-03-09 12:04:37:699
0.366;-6.1586;0.0312;0.4014;-8.1042;-5.5133;-0.0987;-4.0576;-5.0021;-0.6211;-0.5284;-0.3125;0.001;6.41;49.71;23.01;38.61;55.7;-175.84;0.0;1000.16;57.816;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;57507;2018-03-09 12:04:38:199
0.6227;-7.3826;-2.7449;0.242;-9.7608;-0.9513;0.2536;-1.1752;2.4219;0.5527;-0.3964;0.1615;0.001;0.11;59.74;5.16;46.2;84.26;-165.73;0.0;999.7;60.909;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;58006;2018-03-09 12:04:38:698
-0.5833;-12.052;-4.3604;-0.3616;-9.7464;-1.0554;0.8881;3.6503;-8.4048;1.2699;-1.547;0.0659;0.001;-12.08;54.65;3.04;300.64;83.47;161.09;0.0;999.74;58.149;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;58506;2018-03-09 12:04:39:198
0.2594;-15.5241;-4.6182;0.1512;-9.5381;-2.2887;1.4938;7.7455;-0.0425;-2.3072;-1.6245;-0.4784;0.001;-15.68;48.87;12.02;265.44;76.48;-176.22;0.0;999.92;60.818;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;59007;2018-03-09 12:04:39:699
-0.0532;-16.2327;2.1883;0.3612;-9.4754;-2.5145;-1.1336;8.917;-0.7454;-0.3875;-0.8114;-0.3013;0.001;-9.72;43.52;21.75;211.58;74.99;-171.83;0.0;999.98;61.994;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;59506;2018-03-09 12:04:40:198
-1.1274;-12.1443;-0.7917;-1.7728;-9.5574;-1.323;-4.8081;4.2878;0.7729;-2.7827;-1.7495;-0.5645;0.001;-5.2;48.15;15.1;330.79;77.36;66.08;0.0;999.95;55.844;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;60006;2018-03-09 12:04:40:698
1.098;-9.1987;-1.923;-0.651;-9.5315;-2.2277;-1.2559;-1.7759;-1.1264;-0.4105;-2.5029;-0.6644;0.001;0.15;41.06;31.21;201.92;77.57;176.36;0.0;999.99;52.576;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;60507;2018-03-09 12:04:41:199
-0.3432;-9.7498;1.3214;-0.7326;-9.6915;1.332;-0.2203;0.6217;0.1414;0.5305;-0.0411;0.2189;0.001;10.69;47.11;36.54;308.14;84.31;41.84;0.0;999.86;56.018;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;61006;2018-03-09 12:04:41:698
0.9745;-13.3157;-1.5157;0.3212;-9.1417;-3.5443;0.102;2.8813;-7.9928;-2.6138;-0.0145;-1.7458;0.001;33.34;34.55;28.38;225.14;82.9;89.47;0.0;999.96;49.961;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;61506;2018-03-09 12:04:42:198
1.9429;-16.6217;-0.8804;0.4116;-9.7155;-1.2942;-0.9134;10.6848;7.0289;0.348;-0.3578;-0.4879;0.001;11.24;48.33;5.96;69.21;79.5;-171.78;0.0;999.82;56.515;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;62007;2018-03-09 12:04:42:699
1.9688;-9.4947;-4.0819;0.0068;-8.3602;-5.1326;1.4172;6.4871;-3.9606;-2.9287;-0.3598;-0.4391;0.001;10.31;48.37;14.11;129.38;80.2;172.93;0.0;1000.09;53.255;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;62507;2018-03-09 12:04:43:199
-1.4833;-9.017;-0.1302;0.8766;-9.6855;-1.2876;-4.5913;8.0527;1.1852;-0.0716;0.9436;-0.2863;0.001;11.81;56.13;13.04;134.28;85.47;172.59;0.0;1000.12;60.286;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;63007;2018-03-09 12:04:43:699
-0.496;-16.8563;-1.6024;-0.0132;-8.6861;-4.5593;-1.1004;5.543;-1.6058;-3.4382;0.1198;-0.2931;0.001;12.02;52.66;27.11;86.66;62.31;179.83;0.0;1000.29;53.681;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;63506;2018-03-09 12:04:44:198
1.6581;-14.6799;1.5378;0.5279;-9.6774;-1.5183;-2.3123;-1.3181;3.0545;-0.6158;-0.9894;-0.2186;0.001;7.98;57.75;13.17;90.08;80.57;-160.83;0.0;1000.14;57.739;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;64006;2018-03-09 12:04:44:698
-2.1122;-0.8266;0.0379;0.0279;-8.8385;-4.2563;1.5464;-4.1425;-0.1667;1.713;-0.3935;0.0917;0.001;12.44;57.6;15.59;66.56;59.68;-178.1;0.0;1000.28;57.913;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;64507;2018-03-09 12:04:45:199
0.424;-7.0561;-1.8532;0.0119;-9.7425;-1.1486;-1.2876;-2.0054;1.1312;0.2102;-0.4094;0.2955;0.001;13.64;58.71;5.64;85.55;83.28;-179.4;0.0;999.93;57.008;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;65007;2018-03-09 12:04:45:699
-1.0494;-10.6853;-4.629;-0.3493;-9.7713;-0.7969;-0.4573;2.2982;3.7384;1.2179;1.0713;-0.1177;0.001;11.82;54.31;-2.67;36.06;72.04;179.18;0.0;999.9;56.615;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;65507;2018-03-09 12:04:46:199
-0.1616;-14.0283;-5.5837;-0.1432;-9.5683;-2.1595;-0.5971;4.0395;-5.3271;-1.7352;-1.2879;0.0912;0.001;-2.01;54.7;-3.98;359.47;83.97;-168.91;0.0;1000.16;53.635;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;66007;2018-03-09 12:04:46:699
0.4729;-8.425;-0.1693;-0.6305;-9.6433;-1.687;5.3159;2.2487;-0.983;0.3625;0.0623;-0.1503;0.001;-13.49;51.85;-4.2;332.56;77.82;155.94;0.0;1000.06;58.32;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;66507;2018-03-09 12:04:47:199
1.3196;-14.3324;-3.1379;-1.9183;-9.6186;0.1964;-3.548;4.2945;4.6818;-1.4885;-1.4621;0.0612;0.001;-3.76;54.55;-4.83;20.74;78.66;84.15;0.0;1000.18;51.54;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;67007;2018-03-09 12:04:47:699
2.6709;-10.8581;-3.0503;-0.7761;-9.5549;-2.0828;-3.6772;3.5585;5.8834;-0.3727;-2.8168;-0.2842;0.001;-15.7;57.46;11.92;284.69;75.77;172.25;0.0;1000.12;54.613;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;67507;2018-03-09 12:04:48:199
0.4259;-10.3771;0.1199;-1.1759;-9.5685;1.8158;-2.1924;0.8947;2.0686;0.7327;-0.2094;0.3794;0.001;-14.27;56.74;10.81;5.39;82.18;44.16;0.0;1000.06;53.694;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;68007;2018-03-09 12:04:48:699
-2.6741;-0.7167;0.8312;0.4569;-8.4099;-5.03;2.7543;-7.5729;-6.4945;0.3448;-1.2762;-1.0655;0.001;-20.5;36.11;26.59;270.47;62.78;-178.86;0.0;1000.24;50.345;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;68507;2018-03-09 12:04:49:199
2.9562;-8.4552;-3.5792;0.3298;-9.6748;-1.589;-4.6532;-0.6039;0.5913;0.8817;-0.2581;-0.5649;0.001;11.88;48.14;24.75;149.68;76.96;172.59;0.0;1000.06;60.177;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;69007;2018-03-09 12:04:49:699
-1.6701;-1.9731;-1.796;-0.0241;-9.3663;-2.9169;1.3315;-8.2088;-6.1967;3.5026;0.057;0.1858;0.001;-16.08;44.35;18.14;306.36;53.42;-178.74;0.0;1000.33;53.218;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;69506;2018-03-09 12:04:50:198
1.2578;-7.2653;-2.4564;0.193;-9.6783;-1.5905;-1.8464;-0.6938;2.5553;-0.5481;0.6493;0.3258;0.001;2.01;40.41;20.2;137.49;81.41;-155.17;0.0;1000.01;60.958;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;70007;2018-03-09 12:04:50:699
-0.4804;-10.13;-3.5386;-0.0473;-9.7293;-1.2549;1.2542;-0.4718;3.4932;2.1713;0.9345;0.4645;0.001;6.72;49.51;18.36;151.63;82.65;177.84;0.0;1000.04;59.025;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;70506;2018-03-09 12:04:51:198
-1.1492;-11.6144;-4.5939;0.4518;-9.3966;-2.7814;-0.3199;4.6374;-3.568;-2.3403;-0.5834;0.0497;0.001;-1.61;48.85;21.92;167.54;73.31;-170.77;0.0;1000.33;57.636;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;71006;2018-03-09 12:04:51:698
-0.1131;-15.0619;1.8178;0.576;-9.6593;-1.6131;0.3598;6.0881;-4.4003;-0.7727;-1.1104;-0.4422;0.001;-2.98;47.01;15.57;223.67;83.83;168.27;0.0;1000.15;57.374;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;71506;2018-03-09 12:04:52:198
0.0863;-3.6991;-1.0421;0.4337;-8.5936;-4.7114;1.9117;-5.4607;0.4642;1.5147;0.0981;-0.5416;0.001;-6.02;40.07;21.84;264.5;61.16;-174.74;0.0;1000.36;55.439;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;72006;2018-03-09 12:04:52:698
4.0619;-8.3107;-3.2095;0.3469;-9.7438;-1.0838;-1.9229;-3.0123;1.2202;0.8815;-0.1859;-0.1453;0.001;-7.3;44.8;13.1;196.39;83.34;-162.25;0.0;1000.21;56.604;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 19;72507;2018-03-09 12:04:53:199
