,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s?ý),ACCELEROMETER Y (m/s?ý),,,GRAVITY Y (m/s?ý),,LINEAR ACCELERATION X (m/s?ý),LINEAR ACCELERATION Y (m/s?ý),,,,,LIGHT (lux),MAGNETIC FIELD X (?¬T),,,,ORIENTATION X (pitch ?ø),ORIENTATION Y (roll ?ø),,ATMOSPHERIC PRESSURE (hPa),,,,,,,,,,,Time since start in ms 
10.2988,-1.6073,,,-6.417,,-2.6088,-4.9605,,,,,4.449,-36.73,,,,40.85,-86.47,,999.9,,,,,,,,,,,169506
4.4795,-2.0419,,,-2.447,,-0.3997,-1.5481,,,,,4.449,-15.32,,,,19.39,-125.08,,1000.26,,,,,,,,,,,170007
4.7255,-7.8393,,,-8.3608,,-0.4693,-1.9373,,,,,0.001,-6.87,,,,48.49,-103.03,,999.74,,,,,,,,,,,170507
8.4484,-11.4376,,,-8.8981,,0.15,-1.858,,,,,0.001,-2.4,,,,65.1,-110.78,,1000.1,,,,,,,,,,,171007
4.4828,-9.9933,,,-6.6128,,5.3781,-5.3741,,,,,0.001,9.49,,,,82.21,48.01,,999.76,,,,,,,,,,,171506
7.662,-6.652,,,-9.731,,-7.5673,-5.9507,,,,,0.001,23.11,,,,72.35,-108.88,,999.77,,,,,,,,,,,172007
7.9627,-21.8246,,,-9.2065,,0.8827,-4.6697,,,,,0.001,7.78,,,,50.62,-145.94,,999.79,,,,,,,,,,,172506
6.3791,-17.2618,,,-6.8282,,-6.4009,15.0187,,,,,0.001,-0.33,,,,77.44,-110,,999.58,,,,,,,,,,,173006
2.9321,-11.2655,,,-9.662,,-1.6631,4.5241,,,,,0.001,10,,,,67.59,-112.52,,999.82,,,,,,,,,,,173506
4.0659,-9.855,,,-5.8209,,4.1545,-3.6714,,,,,0.001,-29.33,,,,46.94,-126.91,,999.65,,,,,,,,,,,174006
1.7336,-4.2778,,,-7.5801,,2.0385,3.2768,,,,,0.001,-32.79,,,,38.05,-148.23,,1000.06,,,,,,,,,,,174507
2.3162,-8.831,,,-9.6901,,-4.2444,-1.2549,,,,,0.001,12.03,,,,81.03,32.13,,999.44,,,,,,,,,,,175006
-0.0132,-7.3584,,,-8.1491,,4.8287,-3.9003,,,,,0.001,-25.13,,,,74.59,-131.79,,999.57,,,,,,,,,,,175506
1.1683,-10.6073,,,-8.8103,,-0.719,2.3716,,,,,0.001,-31.63,,,,61.41,-137.64,,999.79,,,,,,,,,,,176007
2.0088,-9.9263,,,-9.6011,,-0.7494,-0.0487,,,,,0.001,-20.57,,,,78.15,-125.52,,999.5,,,,,,,,,,,176507
2.4867,-9.976,,,-8.9232,,1.902,1.263,,,,,0.001,-10.57,,,,78.54,-117.82,,999.61,,,,,,,,,,,177006
1.7546,-10.2128,,,-8.8261,,2.554,1.0525,,,,,0.001,3.35,,,,63.28,-140.25,,999.87,,,,,,,,,,,177507
3.0623,-11.2519,,,-9.7949,,-4.2858,2.9902,,,,,0.001,24.71,,,,86.59,-119.63,,999.51,,,,,,,,,,,178006
0.761,-9.3744,,,-8.7449,,1.9885,0.2354,,,,,0.001,-13.86,,,,63.05,-139.38,,999.5,,,,,,,,,,,178507
-1.6335,-9.1192,,,-9.8014,,-0.5181,-2.3911,,,,,0.001,-20.86,,,,74.8,-126.01,,999.65,,,,,,,,,,,179007
3.6202,-10.9901,,,-9.0285,,0.4885,1.1575,,,,,0.001,-34.62,,,,81.61,175.52,,999.45,,,,,,,,,,,179507
-2.6578,-8.0577,,,-9.4382,,8.8601,-3.7531,,,,,0.001,-30.27,,,,74.18,-108.14,,999.87,,,,,,,,,,,180006
-0.2059,-14.8465,,,-9.7857,,-8.664,2.3043,,,,,0.001,7.45,,,,78.45,45.38,,999.42,,,,,,,,,,,180506
13.6899,-20.0339,,,-9.016,,6.6455,-3.7731,,,,,0.001,-33.98,,,,65.73,-124.56,,999.66,,,,,,,,,,,181007
5.7968,-9.5002,,,-9.7674,,-8.2439,1.8722,,,,,0.001,8.18,,,,77.78,-27.97,,999.48,,,,,,,,,,,181506
9.6684,-14.5876,,,-9.0779,,5.3995,-4.3616,,,,,0.001,-28.04,,,,67.72,-131.44,,999.6,,,,,,,,,,,182007
4.6386,-9.088,,,-9.6521,,-5.5629,-1.2622,,,,,0.001,4.73,,,,80.2,-49.03,,999.51,,,,,,,,,,,182507
-3.304,-2.2551,,,-8.6243,,-5.2004,9.5301,,,,,0.001,-21.76,,,,61.54,-133.37,,999.58,,,,,,,,,,,183007
2.8267,-8.5034,,,-9.7256,,-7.3895,-1.031,,,,,0.001,5.35,,,,80.56,-84.84,,999.51,,,,,,,,,,,183508
-2.3053,-3.2064,,,-8.397,,6.7395,-6.3416,,,,,0.001,-24.59,,,,69.67,-131.39,,999.5,,,,,,,,,,,184006
-0.1338,-8.5269,,,-9.7235,,-0.766,-1.0196,,,,,0.001,1.72,,,,82.39,48.21,,999.56,,,,,,,,,,,184507
-1.2288,-4.9128,,,-8.5953,,6.8757,-6.4659,,,,,0.001,-26.43,,,,61.19,-139.47,,999.76,,,,,,,,,,,185006
1.2752,-7.9368,,,-9.7804,,-0.7324,-2.002,,,,,0.001,-21.33,,,,76,-126.38,,999.66,,,,,,,,,,,185507
1.7676,-8.4379,,,-8.8978,,-0.0836,-0.1915,,,,,0.001,-23.96,,,,83.29,160.07,,999.35,,,,,,,,,,,186006
1.698,-8.728,,,-9.794,,-0.8489,1.2857,,,,,0.001,3.81,,,,73.05,-128.21,,999.65,,,,,,,,,,,186506
3.3461,-10.1433,,,-9.0336,,1.1063,-1.3846,,,,,0.001,-3.8,,,,85.81,136.64,,999.09,,,,,,,,,,,187007
2.5197,-10.0348,,,-9.7079,,-1.7215,0.9184,,,,,0.001,-21.57,,,,68.65,-140.16,,1000.58,,,,,,,,,,,187506
3.1071,-11.9961,,,-9.1443,,0.5811,4.3755,,,,,0.001,-24.55,,,,82.58,128.9,,999.49,,,,,,,,,,,188007
-0.008,-10.8706,,,-9.72,,5.7188,6.5379,,,,,0.001,-17.08,,,,70.6,-132.74,,1000.6,,,,,,,,,,,188507
5.431,-11.8913,,,-9.5486,,0.7729,4.6426,,,,,0.001,7.99,,,,76.74,77.99,,999.97,,,,,,,,,,,189006
-1.6394,-4.7305,,,-9.0983,,7.9037,6.1316,,,,,0.001,-13.06,,,,68.04,-138.38,,1000.29,,,,,,,,,,,189508
4.4765,-13.5831,,,-9.2222,,-9.0455,3.4531,,,,,0.001,21.31,,,,70.06,76.86,,999.75,,,,,,,,,,,190007
5.5497,-13.8761,,,-9.1734,,0.6299,1.7004,,,,,0.001,-39.87,,,,65.77,-144.25,,1000.32,,,,,,,,,,,190506
2.5633,-12.0796,,,-9.2313,,-8.4195,1.4114,,,,,0.001,-7.54,,,,70.22,74.03,,999.85,,,,,,,,,,,191007
13.5985,-21.5293,,,-9.4215,,2.5033,-2.295,,,,,0.001,-34.7,,,,65.09,-144.78,,999.65,,,,,,,,,,,191506
1.9034,-11.0206,,,-9.2336,,-5.052,2.8615,,,,,0.001,-5.22,,,,78.2,58.93,,999.8,,,,,,,,,,,192007
10.56,-16.4952,,,-9.5088,,4.2731,-10.2377,,,,,0.001,-21.07,,,,65,-140.8,,999.61,,,,,,,,,,,192507
4.7458,-9.6421,,,-9.3512,,-7.0741,2.3425,,,,,0.001,-5.64,,,,72.41,61.61,,999.3,,,,,,,,,,,193006
-3.2822,-3.598,,,-9.4622,,4.6357,-5.4813,,,,,0.001,-24.86,,,,67.87,-151.47,,999.52,,,,,,,,,,,193506
1.4787,-9.4678,,,-9.2664,,-3.5841,-0.2738,,,,,0.001,-12.47,,,,81.28,74.39,,999.52,,,,,,,,,,,194007
-3.5501,-1.893,,,-9.0156,,2.7282,-4.3758,,,,,0.001,-12.77,,,,72.23,-159.15,,999.2,,,,,,,,,,,194507
1.8453,-9.3608,,,-9.6661,,-3.1913,0.3036,,,,,0.001,1.11,,,,80.18,58.27,,999.61,,,,,,,,,,,195006
-1.4962,-4.162,,,-9.0027,,1.4988,-3.7412,,,,,0.001,0.65,,,,73.37,86.27,,999.45,,,,,,,,,,,195506
-2.161,-8.8431,,,-9.7647,,-3.1919,2.4036,,,,,0.001,7.22,,,,81.64,-162.6,,999.75,,,,,,,,,,,196006
-3.6037,-16.2838,,,-9.6163,,1.1688,-2.1207,,,,,0.001,-3.49,,,,78.59,138.45,,999.51,,,,,,,,,,,196507
-3.5083,-10.2484,,,-9.5635,,-1.2939,3.0531,,,,,0.001,-11.8,,,,77.13,-148.9,,999.93,,,,,,,,,,,197007
3.9879,-10.1716,,,-9.5096,,0.0777,5.3966,,,,,0.001,3.13,,,,75.78,91.28,,999.45,,,,,,,,,,,197506
-2.0293,-5.6721,,,-9.5036,,3.0237,-2.2762,,,,,0.001,-15.04,,,,75.64,-152.33,,999.68,,,,,,,,,,,198006
2.2552,-10.6073,,,-9.3722,,-8.0996,1.6237,,,,,0.001,8.86,,,,78.33,64.71,,999.48,,,,,,,,,,,198506
1.7872,-10.9426,,,-9.6348,,-15.9967,14.4843,,,,,0.001,-18.42,,,,79.15,-161.94,,999.54,,,,,,,,,,,199007
3.912,-8.8975,,,-9.4657,,-7.1355,-1.2997,,,,,0.001,1.57,,,,74.78,61.62,,999.48,,,,,,,,,,,199507
2.9739,-4.9514,,,-6.5793,,1.9215,-2.7243,,,,,0.001,-27.93,,,,66.54,-127.27,,999.47,,,,,,,,,,,200006
4.579,-7.1797,,,-8.4508,,-1.928,-2.2003,,,,,0.001,-29.96,,,,59.48,-97.02,,999.47,,,,,,,,,,,200506
3.1897,-8.2283,,,-8.8506,,0.7903,1.0189,,,,,0.001,-28.99,,,,76.53,-84.71,,999.5,,,,,,,,,,,201007
4.5711,-12.9092,,,-9.6374,,-4.729,7.9869,,,,,0.001,-31.32,,,,71.51,-129.08,,999.54,,,,,,,,,,,201506
3.471,-11.272,,,-9.7406,,-2.2409,-0.9849,,,,,0.001,-26.27,,,,83.18,-30.89,,999.45,,,,,,,,,,,202006
-0.8042,-9.6432,,,-9.702,,-0.4535,-0.2155,,,,,0.001,-18.47,,,,73.42,-150.9,,999.58,,,,,,,,,,,202506
0.2634,-10.4761,,,-9.7629,,-0.1837,-2.4019,,,,,0.001,-16.6,,,,85.33,-106.22,,999.64,,,,,,,,,,,203006
4.0998,-9.452,,,-9.6488,,-3.6653,-0.3042,,,,,0.001,-11.8,,,,80.71,3.29,,999.46,,,,,,,,,,,203507
1.4921,-6.7382,,,-8.7851,,5.0961,-5.8932,,,,,0.001,-11.88,,,,63.58,-134.41,,999.63,,,,,,,,,,,204006
2.9012,-9.213,,,-9.7975,,-4.3672,-0.3159,,,,,0.001,0.54,,,,87.11,-60.88,,999.46,,,,,,,,,,,204506
4.3318,-8.0718,,,-8.5687,,5.1395,-3.7993,,,,,0.001,-16.04,,,,60.86,-140.61,,999.55,,,,,,,,,,,205007
3.7716,-11.2158,,,-9.6406,,-1.4353,-1.0882,,,,,0.001,-15.41,,,,69.9,-132.13,,999.52,,,,,,,,,,,205506
6.0438,-10.7904,,,-9.1421,,4.2885,7.2804,,,,,0.001,-13.92,,,,86.5,137.11,,999.29,,,,,,,,,,,206007
2.0716,-14.1269,,,-9.5238,,-1.9579,1.1602,,,,,0.001,-8.77,,,,76.13,-128.87,,999.65,,,,,,,,,,,206507
4.9041,-5.432,,,-7.7931,,-6.9195,-3.7159,,,,,0.001,15.1,,,,63.48,-19.77,,999.54,,,,,,,,,,,207006
13.4353,-2.0406,,,1.4221,,-13.3468,3.2009,,,,,0.787,18.84,,,,0.82,-11.28,,999.39,,,,,,,,,,,207506
-0.3029,3.9297,,,1.5417,,-0.0861,-2.4307,,,,,49.826,20.27,,,,-8.99,1.47,,999.41,,,,,,,,,,,208006
-0.3786,3.4254,,,2.0167,,1.2776,-0.9683,,,,,31.141,8.75,,,,-10.06,-4.41,,999.47,,,,,,,,,,,208506
-1.3693,4.2189,,,3.2428,,-0.3116,-1.6306,,,,,31.141,11.49,,,,-14.7,-1.98,,999.49,,,,,,,,,,,209006
-1.6855,5.3768,,,4.5995,,0.2738,-0.201,,,,,28.472,12.05,,,,-29.21,6.56,,999.5,,,,,,,,,,,209506
-1.1132,3.3573,,,3.1451,,0.312,-0.9268,,,,,36.48,10.48,,,,-18.97,5.95,,999.51,,,,,,,,,,,210006
1.3154,3.2557,,,2.7599,,0.2949,1.1299,,,,,36.48,2.35,,,,-18.85,-6.09,,999.52,,,,,,,,,,,210507
-0.7982,2.9294,,,3.0075,,0.8185,-0.4011,,,,,89.865,12.41,,,,-17.61,2.4,,999.52,,,,,,,,,,,211006
0.7419,2.9318,,,3.1977,,-0.1351,-0.9316,,,,,409.285,6.88,,,,-17.57,-0.95,,999.51,,,,,,,,,,,211506
-1.2707,3.3071,,,3.0126,,0.7672,-0.1621,,,,,457.332,11.38,,,,-17.88,1.31,,999.5,,,,,,,,,,,212006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
